"X","name","essround","proddate","cntry","netusoft","netustm","trstprl","trstplc","trstprt","trstep","trstun","freehms","euftf","atchctr","atcherp","rlgdgr","rlgatnd","pray","vteurmmb","vteubcmb","ipcrtiv","imprich","ipeqopt","ipshabt","impsafe","ipfrule","ipudrst","ipmodst","ipgdtim","impfree","iphlppl","ipsuces","ipstrgv","ipadvnt","ipbhprp","iprspot","iplylfr","impenv","imptrad","impfun","T_EUandUN","T_DOMEST","T_PATRIOT","V_EXCITE","V_MATERIA","V_AUTONOM","V_RELIGION","V_GROUP","IT_FREQ","IT_TIME"
1797,"ESS9e03_1",9,"17.02.2021","BG",1,NA,1,1,1,1,2,4,6,5,4,7,4,4,33,NA,5,5,2,2,2,2,4,4,6,3,3,5,1,6,4,3,3,3,2,5,3.25,1,3,1.83333333333333,3.5,3.85714285714286,5.125,4.92857142857143,NA,NA
1798,"ESS9e03_1",9,"17.02.2021","BG",1,NA,4,6,2,3,2,1,7,10,6,7,7,7,1,NA,3,3,2,1,1,2,2,6,1,2,1,1,1,5,1,4,1,1,3,5,4,3,8,3.83333333333333,5.83333333333333,5.14285714285714,3.375,5.78571428571429,NA,NA
1799,"ESS9e03_1",9,"17.02.2021","BG",5,30,0,0,NA,4,3,1,10,5,2,3,6,7,1,NA,1,4,1,1,1,1,1,1,1,1,1,1,1,1,NA,3,1,1,1,1,4.2,0,2.5,6.5,5.5,6.42857142857143,3.125,6.16666666666667,10.5,30
1800,"ESS9e03_1",9,"17.02.2021","BG",2,NA,4,7,3,8,9,2,10,10,7,5,5,3,1,NA,2,3,2,2,2,1,2,2,1,2,2,2,1,2,2,3,2,2,2,2,7.2,3.5,8.5,5.83333333333333,5.16666666666667,5.42857142857143,4.625,5.64285714285714,6,NA
1801,"ESS9e03_1",9,"17.02.2021","BG",2,NA,4,5,4,7,7,NA,9,8,5,3,5,6,1,NA,3,5,1,2,3,4,2,4,3,2,2,3,2,5,3,3,1,2,1,3,6,4,6.5,3.83333333333333,4.16666666666667,5,3.625,5.07142857142857,6,NA
1802,"ESS9e03_1",9,"17.02.2021","BG",1,NA,2,6,1,1,1,3,2,8,1,9,2,1,55,NA,5,5,3,4,2,4,3,3,5,5,2,4,3,6,3,3,4,3,3,6,1.25,1.5,7,1.83333333333333,3.16666666666667,3.85714285714286,6.625,4.5,NA,NA
1803,"ESS9e03_1",9,"17.02.2021","BG",1,NA,2,6,2,NA,NA,2,NA,NA,NA,7,6,6,NA,NA,NA,6,NA,2,1,NA,NA,1,6,3,2,NA,2,6,NA,NA,1,1,1,6,NA,2,6,1.5,3.5,5.8,4.375,5.83333333333333,NA,NA
1804,"ESS9e03_1",9,"17.02.2021","BG",5,180,3,5,3,5,1,3,4,10,7,3,7,7,1,NA,6,6,2,2,NA,5,4,2,6,2,2,2,2,5,2,2,NA,2,2,5,3.8,3,7.5,2.16666666666667,4.16666666666667,4,2.625,5.07142857142857,10.5,180
1805,"ESS9e03_1",9,"17.02.2021","BG",1,NA,1,10,3,9,9,3,8,9,8,5,7,6,1,NA,4,6,2,2,2,2,2,6,5,5,3,3,2,6,2,4,2,2,2,2,7.2,2,9.5,3.16666666666667,3.83333333333333,4,3.375,5.07142857142857,NA,NA
1806,"ESS9e03_1",9,"17.02.2021","BG",4,120,2,0,0,NA,NA,4,8,10,4,4,7,1,1,NA,1,4,2,1,1,1,3,3,1,3,1,2,1,2,1,1,1,1,1,1,4.66666666666667,1,5,6.16666666666667,5.16666666666667,5.14285714285714,4.625,6.35714285714286,9,120
