"","netusoft","netustm","trstprl","trstplc","trstprt","trstep","trstun","freehms","euftf","atchctr","atcherp","rlgdgr","rlgatnd","pray","vteurmmb","vteubcmb","ipcrtiv","imprich","ipeqopt","ipshabt","impsafe","ipfrule","ipudrst","ipmodst","ipgdtim","impfree","iphlppl","ipsuces","ipstrgv","ipadvnt","ipbhprp","iprspot","iplylfr","impenv","imptrad","impfun"
"59",5,180,8,9,7,8,9,1,9,9,9,8,7,6,1,NA,1,4,1,2,3,2,1,2,2,1,1,2,1,4,1,2,1,1,3,2
"60",5,150,5,7,6,5,3,2,8,7,10,3,7,7,1,NA,3,5,1,6,5,3,2,2,4,1,2,4,4,1,2,5,2,1,2,2
"61",5,60,5,6,5,5,6,2,5,6,6,6,7,6,1,NA,1,5,2,2,2,5,2,2,3,3,1,2,2,2,2,3,1,1,2,1
"62",5,240,3,8,4,5,5,1,8,5,5,2,7,6,1,NA,2,4,2,4,2,3,2,2,2,3,3,5,3,4,3,4,2,2,3,2
"63",4,120,6,7,5,7,7,1,6,6,6,1,7,7,1,NA,2,5,2,4,3,4,2,2,3,2,2,5,4,5,2,3,2,2,4,3
"64",5,165,5,7,6,6,7,2,6,6,6,0,7,7,1,NA,4,3,3,2,3,3,3,4,2,3,3,3,4,3,2,3,2,4,5,2
"65",5,180,7,7,4,5,7,1,5,3,3,1,6,7,1,NA,3,3,2,3,3,3,2,3,1,2,2,3,3,3,2,3,2,3,4,2
"66",4,60,8,9,7,8,9,2,9,5,8,9,3,2,1,NA,2,3,2,3,2,3,2,3,3,2,2,2,2,3,3,3,3,3,3,3
"67",5,270,8,8,7,9,8,1,7,6,5,0,7,7,1,NA,4,2,2,2,4,4,3,3,2,2,3,3,2,4,3,4,1,4,3,1
"68",5,390,7,8,6,8,9,2,8,7,7,2,7,5,1,NA,2,3,1,4,2,3,1,2,2,2,1,4,1,3,3,4,1,1,2,1
"69",5,210,6,7,6,8,8,2,1,10,7,6,6,7,1,NA,3,5,1,4,1,3,2,2,3,4,2,4,2,5,4,3,1,3,2,4
"70",5,300,6,6,4,4,5,1,5,7,4,4,6,7,1,NA,4,5,2,2,2,4,1,2,3,3,2,3,3,4,4,5,3,1,3,3
"71",5,480,5,8,4,5,5,1,5,7,4,5,7,7,1,NA,1,1,3,2,3,6,2,2,3,1,4,1,3,3,3,2,4,3,6,1
"72",4,30,3,10,4,6,3,1,8,10,5,10,7,1,1,NA,6,6,5,6,1,6,1,1,6,1,1,3,1,6,6,6,1,6,1,6
"73",5,240,5,7,5,5,5,1,5,6,5,8,5,5,1,NA,5,6,2,2,1,3,3,2,2,3,1,2,1,4,1,3,1,3,2,1
"74",5,180,7,7,6,7,7,1,8,7,7,2,6,7,1,NA,5,5,3,6,2,5,1,2,3,2,2,5,3,3,3,4,1,3,5,2
"75",5,780,7,5,6,7,8,1,NA,8,8,0,7,7,1,NA,2,5,2,3,4,3,2,3,3,2,2,3,NA,4,4,3,2,2,5,3
"76",4,180,3,7,5,5,5,2,5,8,5,5,7,7,1,NA,3,3,2,5,2,3,2,2,3,2,2,3,2,3,2,3,2,3,1,3
"77",5,480,3,5,4,4,5,1,7,5,8,0,7,7,2,NA,3,5,1,3,3,4,3,3,2,3,3,3,3,3,4,3,3,3,3,3
"78",5,600,6,6,5,5,7,1,10,9,9,2,7,7,1,NA,4,4,2,2,2,2,2,2,2,2,3,2,2,5,2,2,2,2,2,2
"79",5,60,2,8,0,2,2,1,1,5,3,7,4,7,2,NA,4,6,2,4,2,3,2,2,4,3,2,5,5,5,3,4,2,2,2,3
